installed_apps,to_be_removed,deleted_apps,disabled_apps,failed_to_clean
com.android.settings.intelligence,com.microsoft.appmanager,com.microsoft.deviceintegrationservice,,
com.android.settings.overlay.miui,com.microsoft.deviceintegrationservice,com.microsoft.skydrive,,
com.android.sharedstoragebackup,com.microsoft.skydrive,com.microsoftsdk.crossdeviceservicebroker,,
com.android.shell,com.microsoftsdk.crossdeviceservicebroker,com.milink.service,,
com.android.simappdialog,com.milink.service,com.mintgames.triplecrush.tile.fun,,
com.android.soundpicker,com.mintgames.triplecrush.tile.fun,com.mintgames.wordtrip,,
com.android.soundrecorder,com.mintgames.wordtrip,com.miui.accessibility,,
com.android.statementservice,com.miui.accessibility,com.miui.analytics,,
com.android.stk,com.miui.analytics,com.miui.android.fashiongallery,,
com.android.stk.overlay.miui,com.miui.android.fashiongallery,com.miui.audiomonitor,,
com.android.storagemanager,com.miui.audiomonitor,com.miui.backup,,
com.android.systemui,com.miui.backup,com.miui.bugreport,,
com.android.systemui.accessibility.accessibilitymenu,com.miui.bugreport,com.miui.cit,,
com.android.systemui.gesture.line.overlay,com.miui.calculator,com.miui.cleaner,,
com.android.systemui.navigation.bar.overlay,com.miui.cit,com.miui.cloudbackup,,
com.android.systemui.overlay.miui,com.miui.cleaner,com.miui.cloudservice,,
com.android.theme.font.notoserifsource,com.miui.cloudbackup,com.miui.daemon,,
com.android.thememanager,com.miui.cloudservice,com.miui.extraphoto,,
com.android.thememanager.customizethemeconfig.config.overlay,com.miui.compass,com.miui.gallery,,
com.android.traceur,com.miui.daemon,com.miui.global.packageinstaller,,
com.android.updater,com.miui.extraphoto,com.miui.huanji,,
com.android.vending,com.miui.gallery,com.miui.micloudsync,,
com.android.virtualization.terminal,com.miui.global.packageinstaller,com.miui.miservice,,
com.android.virtualmachine.res,com.miui.huanji,com.miui.mishare.connectivity,,
com.android.vpndialogs,com.miui.micloudsync,com.miui.misound,,
com.android.wallpaper.livepicker,com.miui.miservice,com.miui.miwallpaper.config.overlay,,
com.android.wallpaperbackup,com.miui.mishare.connectivity,com.miui.miwallpaper.overlay,,
com.android.wallpapercropper,com.miui.misound,com.miui.miwallpaper.overlay.customize,,
com.android.wifi.dialog,com.miui.miwallpaper.config.overlay,com.miui.msa.global,,
com.android.wifi.mainline.resources.overlay,com.miui.miwallpaper.overlay,com.miui.phone.carriers.overlay.h3g,,
com.android.wifi.resources.overlay,com.miui.miwallpaper.overlay.customize,com.miui.phone.carriers.overlay.vodafone,,
com.android.wifi.resources.xiaomi,com.miui.msa.global,com.miui.phrase,,
com.block.juggle,com.miui.notes,com.miui.player,,
com.block.puzzle.game.hippo.mi,com.miui.phone.carriers.overlay.h3g,com.miui.qr,,
com.booking,com.miui.phone.carriers.overlay.vodafone,com.miui.settings.rro.device.hide.statusbar.overlay,,
com.bsp.catchlog,com.miui.phrase,com.miui.settings.rro.device.type.overlay,,
com.debug.loggerui,com.miui.player,com.miui.system.overlay,,
com.duokan.phone.remotecontroller,com.miui.qr,com.miui.thirdappassistant,,
com.facebook.appmanager,com.miui.screenrecorder,com.miui.touchassistant,,
com.facebook.katana,com.miui.settings.rro.device.hide.statusbar.overlay,com.miui.videoplayer,,
com.facebook.services,com.miui.settings.rro.device.type.overlay,com.miui.vsimcore,,
com.facebook.system,com.miui.system.overlay,com.miui.wallpaper.overlay,,
com.goodix.fingerprint.setting,com.miui.thirdappassistant,com.miui.wallpaper.overlay.customize,,
com.google.ambient.streaming,com.miui.touchassistant,com.miui.yellowpage,,
com.google.android.accessibility.switchaccess,com.miui.videoplayer,com.miuix.editor,,
com.google.android.adservices.api,com.miui.vsimcore,com.netflix.mediaclient,,
com.google.android.aicore,com.miui.wallpaper.overlay,com.nf.snake,,
com.google.android.apps.bard,com.miui.wallpaper.overlay.customize,com.spotify.music,,
com.google.android.apps.docs,com.miui.weather2,com.sukhavati.gotoplaying.bubble.BubbleShooter.mint,,
